rho,phi,dphi
0.0000,3.5687293044,0.0000000000
0.00125,3.5687293044,-0.0000000000
0.0025,3.5687293044,-0.0000000000
0.0037,3.5687293044,-0.0000000000
0.0050,3.5687293044,-0.0000000000
0.0062,3.5687293044,-0.0000000000
0.0075,3.5687293044,-0.0000000000
0.0088,3.5687293044,-0.0000000000
0.0100,3.5687293044,-0.0000000000
0.0112,3.5687293044,-0.0000000000
0.0125,3.5687293044,-0.0000000000
0.0137,3.5687293044,-0.0000000000
0.0150,3.5687293044,-0.0000000000
0.0162,3.5687293044,-0.0000000000
0.0175,3.5687293044,-0.0000000000
0.0187,3.5687293044,-0.0000000000
0.0200,3.5687293044,-0.0000000000
0.0213,3.5687293044,-0.0000000000
0.0225,3.5687293044,-0.0000000000
0.0237,3.5687293044,-0.0000000000
0.0250,3.5687293044,-0.0000000000
0.0262,3.5687293044,-0.0000000000
0.0275,3.5687293044,-0.0000000000
0.0287,3.5687293044,-0.0000000000
0.0300,3.5687293044,-0.0000000000
0.0312,3.5687293044,-0.0000000000
0.0325,3.5687293044,-0.0000000000
0.0337,3.5687293044,-0.0000000000
0.0350,3.5687293044,-0.0000000000
0.0362,3.5687293044,-0.0000000000
0.0375,3.5687293044,-0.0000000000
0.0388,3.5687293044,-0.0000000000
0.0400,3.5687293044,-0.0000000000
0.0412,3.5687293044,-0.0000000000
0.0425,3.5687293044,-0.0000000000
0.0437,3.5687293044,-0.0000000000
0.0450,3.5687293044,-0.0000000000
0.0463,3.5687293044,-0.0000000000
0.0475,3.5687293044,-0.0000000000
0.0487,3.5687293044,-0.0000000000
0.0500,3.5687293044,-0.0000000000
0.0512,3.5687293044,-0.0000000000
0.0525,3.5687293044,-0.0000000000
0.0537,3.5687293044,-0.0000000000
0.0550,3.5687293044,-0.0000000000
0.0562,3.5687293044,-0.0000000000
0.0575,3.5687293044,-0.0000000000
0.0587,3.5687293044,-0.0000000000
0.0600,3.5687293044,-0.0000000000
0.0612,3.5687293044,-0.0000000000
0.0625,3.5687293044,-0.0000000000
0.0637,3.5687293044,-0.0000000000
0.0650,3.5687293044,-0.0000000000
0.0662,3.5687293044,-0.0000000000
0.0675,3.5687293044,-0.0000000000
0.0688,3.5687293044,-0.0000000000
0.0700,3.5687293044,-0.0000000000
0.0712,3.5687293044,-0.0000000000
0.0725,3.5687293044,-0.0000000000
0.0737,3.5687293044,-0.0000000000
0.0750,3.5687293044,-0.0000000000
0.0763,3.5687293044,-0.0000000000
0.0775,3.5687293044,-0.0000000000
0.0787,3.5687293044,-0.0000000000
0.0800,3.5687293044,-0.0000000000
0.0812,3.5687293044,-0.0000000000
0.0825,3.5687293044,-0.0000000000
0.0837,3.5687293044,-0.0000000000
0.0850,3.5687293044,-0.0000000000
0.0862,3.5687293044,-0.0000000000
0.0875,3.5687293044,-0.0000000000
0.0887,3.5687293044,-0.0000000000
0.0900,3.5687293044,-0.0000000000
0.0912,3.5687293044,-0.0000000000
0.0925,3.5687293044,-0.0000000000
0.0938,3.5687293044,-0.0000000000
0.0950,3.5687293044,-0.0000000000
0.0962,3.5687293044,-0.0000000000
0.0975,3.5687293044,-0.0000000000
0.0987,3.5687293044,-0.0000000000
0.1000,3.5687293044,-0.0000000000
0.1013,3.5687293044,-0.0000000000
0.1025,3.5687293044,-0.0000000000
0.1037,3.5687293044,-0.0000000000
0.1050,3.5687293044,-0.0000000000
